name,longname,color,mode,oneway,headway1,headway2,faresystem,file_index,node_list
O630,,3,4,False,60,60,,4,"[29658, 29649, -29644, 29640, 29625, -29616, 29611, -29598, 29588, 29562, -29556, 29550, 29542, 29533, 29521, -29525, -29538, 29541, -29538, -29525, 29521, 29533, 29542, -29537, -29535, 29532, 29500, -29490, -29483, 29477, 29471, 29467, 29461, 29455, -29453, 29451, 29442, 29437, -29432, 29427, -29420, 29414, -29407, -29402, 29399, -29396, -29391, 29389, -29388, -29378, 29366, -29349, -29342, -29337, 29332, 29301, -29295, 29282, -29271, 29269, -29255, 29243, -29240, 29219, -29210, 29201, 29190, -29188, 29183, 29177, 29172, -29153, 29148, 29140, -29130, 29119, -29114, 29092, 29066, -29055, -29041, -29017, 29003, -28982, -28964, 28950, -28936, 28909, -28888, 28880, -28870, -28855, 28851, 28830, -28812, 10046]"
O640,,7,4,False,30,30,,4,"[27624, -27644, -27672, 27701, 27803, 27746, -27682, -27720, 27755, 27813, 27755, -27720, 27682, -27681, 27670, 27629, 27592, 27541, 27559, 27567, -27575, -27586, 10036, -27586, -27605, -27565, -27500, 27483, -27480, -27488, -27504, -27506, 27495, 27448, 27405, 27434, 27489, -27538, 27594, -27635, 27690, -27732, 27777, -27831, 27854, 27879, 27925, -27953, 27982, 28014, 28029, 28079, 28087, 28107, 28134, 28179, 28188, -28237, 28269, -28277, -28284, 28290, 28303, 28343, 28333, 28371, -28408, 28459, -28504, 28536, 28555, -28578, 28590, -28601, 28616, 28632, 28644, 28654, 28675, 28687, 28715, -28746, 28758, -28779, -28797, 28820, 28797, 28779, 28727]"
O645,,7,4,False,30,30,,4,"[29114, 29127, 29166, -29179, -29192, 29205, 29189, 29158, 29144, 29122, -29104, 29083, -29106, 29137, 29120, 29102, -29093, 29086, 29080, -29077, 29070, 29058, 29043, -29037, 29028, -29002, 28991, -28980, 28968, 28954, 28935, -28920, 28899, -28884, 28861, -28844, 28819, 28858, 28894, 28877, 28841, 28779, 28727, 28678, -28651, 28631, -28619, 28595]"
O650,,3,4,False,30,60,,4,"[10046, -28812, -28808, -28806, -28796, -28790, -28772, -28747, -28722, -28705, -28689, -28674, -28658, -28636, -28604, -28590, -28601, -28616, -28632, -28644, -28654, -28675, -28687, -28715, -28746, -28758, -28779, 28727]"
OF618,,13,4,False,30,60,,4,"[10046, -28812, 28830, 28851, -28855, -28870, 28880, -28888, 28909, 28936, 28953, -28957, 28967, 28978, -28981, 28997, 29011, -29019, 29033, 29046, 29069, 29083, -29068, 29055, 29026, -29707, -28993, 28983, 28999]"
OF638,,13,4,False,60,60,,4,"[-29535, 29537, -29542, 29550, -29556, -29562, 29588, -29598, 29611, -29616, 29625, 29640, 29644, 29649, 29658, -29657, 29648, 29633, 29622, 29603, -29602, 29595, 29578, 29565, 29558, -29548, 29541, -29538, -29525, 29521, 29533]"
O628,,7,4,False,30,30,,4,"[10036, -27586, -27575, 27567, -27559, 27541, -27592, -27629, -27670, 27681, 27682, -27654, 27642, 27615, -27609, -27611, -27626, 27624, -27604, -27572, 27542, 27528, 27507, 27494, -27552, 27591, 27554, 27529, -27502, -27473, -27460, -27472, 10035, -27472, -27460, -27433, -27370, -27354, 27326]"
O667,,7,4,True,30,30,,4,"[10031, -27082, -27137, -27082, -27053, 27004, -27001, 26990, 27061, -27064, 27071, -27108, 27148, -27169, 27157, -27171, 27202, -27217, -27220, -27224, -27231, -27238, -27244, -27247, -27270, -27276, 27281, -27271, -27240, -27228, -27204]"
OF620,,7,4,True,30,60,,4,"[10046, -28812, 28830, 28851, -28855, 28870, 28880, 28888, -28857, -28843, -28833, -28817, -28765, -28714, 28681, -28670, -28653, -28638, -28606, 28557, 28528, -28486, 28452, 28509, -28575, 28607, -28593, 28500, -28409, -29703, -29702, -28368, -28364, 28348, -28332, 28328, -28300, 28233, -28183, 28163, 28117, -28166, 10042, -28166, 28117, 28163, -28183, 28233, -28300, 28328, -28332, 28348, -28364, -28368, -29702, -29703, -28409, 28500, -28593, 28607, -28575, 28509, 28452, -28486, 28528, 28557, -28606, -28638, -28653, -28670, 28681, -28714, -28765, -28817, -28824, -28832, -28834, -28840, 28870, -28855, 28851, 28830, -28812, 10046]"
O601,,3,4,True,20,20,,4,"[10046, -28812, -28808, -28806, -28815, 28828, 28807, 28788, -28795, 28805, 28826, 28849, 28867, 28887, -28891, 28905, 28886, 28865, 28848, 28865, 28886, 28905, -28891, 28887, 28867, 28849, 28826, 28805, -28795, 28788, 28807, 28828, -28815, -28808, -28812, 10046]"
BRT3500S,Magna to South Salt Lake BRT,,5,False,15,15,,5,"[-23506, -23470, -23429, 15069, -23429, -23470, -23506, -23545, -23564, -23574, -23603, -23638, -23648, 23671, -23704, 23726, 23794, -23855, 23962, -24036, -24101, 24142, -24226, -24254, -24279, -24307, -24321, -24342, -24367, -24384, 15086]"
S2X,,13,6,False,15,0,,6,"[10019, -15115, -25263, -25286, -25295, -25329, -25346, -25359, -25396, -25421, -25442, -25460, -25489, -25511, -25536, -25562, -25586, -25621, -25632, -25653, -25674, -25696, -25717, -25738, -25759, -25793, -25832, -25862, -25881, -25921, -25949, -26017, -26056, 26072, -26044, 26015, 26029, 26078, 26082, 26101, 26168, -26184, -26205, 15149]"
S307X,,13,4,True,47,0,,6,"[24066, 24026, 24200, 24069, 23971, -23879, 23872, -23870, -23869, 23866, 23834, 23915, 24031, 24118, 24237, -24266, -24242, -24194, 24154, -24175, -24171, -24134, 24164, -24224, 24248, -24260, -24246, 24236, -24223, -24193, -24211, 24277, -24327, -24421, 24461, -24505, -24563, 24645, -24685, -24754, -24813, 24838, -24886, -24912, -24931, -24971, -24982, -25007, 25037, -25103, 25190, -25271, 25348, -25453, 25531, -25582, -25626, 25671, -25699, -25711, -25736, 25754, -25791, -25830, -25864, 25881, -25862, -25832, -25793, 25759, -25738, -25717, -25696, 25674, -25653, 25632, -25621, 25586, -25618, 25635, -25658, 25677, -25704, 25720, -25698, 25678, -25657, 25636, -25616, 25592, -25570, 25545]"
S313X,,13,4,True,30,0,,6,"[22072, -22116, -22196, -22202, -22257, -22329, 22383, -22441, 22495, 22595, -22647, -22707, -22773, 22833, 22896, 22999, 23073, 23154, 23255, 23353, -23352, -23377, 23419, 23386, 23351, 23392, 23466, 23577, 23633, -23615, -23588, -23684, -23782, -23896, -23990, -24125, -24178, -24324, -24361, -24411, -24450, -24477, -24526, -24601, -24682, -24821, -24938, -25131, -25214, -25267, -25352, -25496, -25598, -25668, -25748, -25778, -25803, -25833, -25838, -25824, -25800, -25808, -25814, -25841, -25868, -25869, -25876, -25884, 25901, -25928, -25934, -25955, -25974, -25984, -26013, -26024, -26046, -26061, 26097, -26102, 26120, -26126, 26125, -26122, -26113, -26104, -26070, 26082, -26078, 26029, -26100, -26103, 26137, -26146, -26163, -26166, -26170, -26192, 26196, -26207, -26212, -26208, -26206, -26204, -26205, 15149]"
S320X,,13,4,True,30,0,,6,"[23072, -23171, 23246, -23290, -23346, 23356, -23471, -23485, 23499, -23573, -23611, 23636, -23668, -23693, -23724, 23762, -23839, 23901, -23956, -24004, -24048, -24071, -24080, -24093, -24121, 24154, -24175, -24171, 24134, -24164, -24224, 24248, -24260, -24246, 24236, -24223, -24193, -24211, 24277, -24327, -24421, 24461, -24505, -24563, 24645, -24685, -24754, -24813, 24838, -24886, -24912, -24931, -24971, -24982, -25007, 25037, -25103, 25190, -25271, 25348, -25453, 25531, -25582, -25626, 25671, -25699, -25711, -25736, 25754, -25791, -25830, -25864, 25881, -25862, -25832, -25793, 25759, -25738, -25717, -25696, 25674, -25653, -25632, -25621, 25586, -25618, 25635, -25658, 25677, -25704, 25720, -25698, -25678, -25657, 25636, -25616, 25592, -25570, 25545]"
S354X,,13,4,True,30,0,,6,"[23072, -23171, 23246, -23290, -23346, 23356, -23471, -23485, 23499, -23573, -23611, 23636, -23668, -23693, -23724, 23762, -23839, 23901, -23983, 24031, -24082, 24186, -24247, 24282, -24328, 24369, -24383, -24370, -24397, 24423, -24430, -24458, -24500, -24549, -24598, -24643, -24887, -24960, -25044, -25172, -25287, -25312, 25381, -25430, -25534, -25640, -25685, -25748, -25778, -25803, -25833, -25838, -25824, -25800, -25808, -25814, -25841, -25868, -25869, -25876, -25884, 25901, -25928, -25934, -25955, -25974, -25984, -26013, -26024, -26046, -26061, -26097, -26102, 26120, -26126, -26125, -26122, -26113, -26104, 26070, 26082, -26078, 26029, -26100, -26103, 26137, -26146, -26163, -26166, -26170, -26192, 26196, -26207, -26212, -26208, -26206, -26204, -26205, 15149]"
S451X,,13,6,True,30,0,,6,"[20869, -20922, -21195, -21464, -21534, -21726, -22006, -22284, -22356, -22537, -22921, -23362, -23497, -23675, -23716, -23829, -23924, -24045, -24122, -24202, -24245, -24264, -24288, -24319, -24404, -24495, -24512, -24623, -24662, -24781, -24825, -24881, -24917, -25067, -25117, -25127, -25112, -25081, -25039, -25033, -25064, -25106, -25164, -25179, -25204, 25219, -25242, -25258, -25277, 25297, -25330, 25339, -25370, 25391, -25420, 25439, -25461, 25490, -25510, 25540, -25568, 25586, -25618, 25635, -25658, 25677, -25704, 25720, -25698, 25678, -25657, -25636, -25616, 25592, -25570, 25545, -25522, 25493, -25473, 25443]"
S454,,13,4,True,30,0,,6,"[20869, -20922, -21195, -21464, -21534, -21726, -22006, -22284, -22356, -22537, -22921, -23362, -23497, -23675, -23716, -23829, -23924, -23953, -24012, 24081, -24221, 24308, -24243, -24217, -24245, -24264, -24284, -24343, -24345, -24325, -24313, -24318, -24366, -24378, -24447, -24496, -24558, 15093, -24558, -24496, -24431, -24413, -24389, -24412, -24419, -24438, -24464, -24499, -24711, -24767, 24810, -24799, -24832, -24855, -24905, 15101, -24905, -24956, -25035, 15105, -25035, -25170, -25205, 25266, 25344, -25384, 25401, -25452, 10021, -25452, -25476, 25495, -25521, 25545, -25570, -25592, 25616, -25636, 25657, -25678, 25698, -25720, -25704, 25677, -25658, 25635, -25618, 25586, -25568, 25540, -25510, 25490, -25461, 25439]"
S456,,13,6,True,360,0,,6,"[28936, -28909, -28888, -28880, -28870, -28855, -28851, -28830, -28812, 10046, -28812, -28808, -28806, -28796, -28790, -28772, -28747, -28722, -28705, -28689, -28674, -28658, -28636, -28604, -28590, -28578, -28555, -28536, -28504, -28459, -28408, -28371, -28333, -28286, -28248, -28241, -28215, -28182, 28120, -28080, -28063, -28055, -28012, -27972, -27901, -27887, -27856, -27794, -27766, -27761, -27753, -27717, -27708, -27697, -27667, -27657, -27643, -27597, -27572, -27604, -27624, -27644, -27672, 27701, -27672, -27644, -27624, -27604, -27572, -27568, -27515, -27481, -27437, -27383, -27384, -27369, 27328, -27369, -27339, -27295, -27151, -27136, -27113, -27129, -27141, -27159, -27166, -29821, -27137, -27082, 10031, -27082, -27137, -29821, -27166, -27204, -27228, -27215, -27184, -27160, -27090, -27033, -26996, -26982, -26843, -26802, -26697, -26672, -26655, -26606, -26578, -26557, -26546, -26533, -26524, -26506, -26485, -26438, -26415, -26397, -26377, -26357, -26300, -26286, -26271, -26239, -26235, -26226, -26210, -26185, -26138, -26123, -26105, -26075, -26004, -25882, -25812, -25706, -25625, -25579, 25406, 25191, 24998, 24926, 24810, -24799, -24832, -24855, -24905, 15101, -24905, -24956, -25035, 15105]"
S471,,13,4,True,40,0,,6,"[26706, -26676, 26653, 26629, -26619, 26604, 26572, -26565, 26542, 26521, -26513, -26492, 26476, 26464, 26434, -26428, -26424, 26414, -26395, 26392, -26386, -26376, -26374, -26372, -26357, -26300, -26286, -26271, -26239, -23080, -26230, -26221, -26217, -26213, -26200, -26176, -26149, -26110, -26053, -25983, -25973, -25972, -25968, -25958, -25929, -25910, 25888, -25848, 25772, -25681, 25639, -25594, 25545, -25570, 25592, -25616, 25636, -25657, 25678, -25698, 25720, -25704, 25677, -25658, 25635, -25618, 25586, -25568, 25540, -25510, 25490, -25464, 25440, -25425, 25393]"
S472X,,13,6,True,30,0,,6,"[28120, -28080, -28063, -28055, -28012, -27972, -27901, -27887, -27856, -27794, -27766, -27761, -27753, -27717, -27708, -27697, -27667, -27657, -27643, -27597, -27572, -27604, -27624, -27644, -27672, 27701, -27672, -27644, -27624, -27604, -27572, -27568, -27515, -27481, -27437, -27383, -27384, 27369, -27339, -27295, -27151, -27136, -27113, -27129, -27141, -27159, -27168, -27189, -27187, -27160, -27090, -27033, -26996, -26982, -26843, -26802, -26697, -26670, -26655, -26606, -26578, -26557, -26546, -26533, -26524, -26506, -26485, -26438, -26415, -26397, -26377, -26357, -26300, -26286, -26271, -26239, -23080, -26230, -26214, -26201, -26142, -26118, -26066, -26038, -25988, -25963, -25939, -25765, -25728, -25680, -25642, -25590, -25622, -25648, -25726, -25747, -25772, -25681, -25639, -25594, -25545, 25570, -25592, 25616, -25636, -25657, 25678, -25698, -25720, 25704, -25677, 25658, -25635, 25618, -25586, 25568, -25540, 25510, 25490, -25461, 25439]"
S473X,,13,6,True,30,0,,6,"[10046, -28812, -28808, -28806, -28796, -28790, 28772, -28777, -28788, 28795, -28805, -28813, 28823, -28835, -28845, 28871, -28899, -28933, 28963, -28951, -28932, 28927, -28918, -28894, -28877, -28841, 28779, -28727, 28678, -28651, -28631, -28619, -28595, -28579, -28566, -28548, -28535, 28519, -28456, -28430, -28431, -28427, -28424, -28506, -28505, -28485, -28475, -28460, -28450, -28443, -28418, 28394, -28380, -28308, -28258, -28169, -28149, 28142, -28149, -28118, -28061, -28038, -28023, -27985, -27955, -27935, -27910, -27875, -27824, -27798, 27797, -27798, -27751, -27675, -27618, -27526, -27449, -27378, -27357, -27346, -27308, -27290, -27272, -27250, -27228, -27204, -27166, -29821, -27137, -27082, 10031, -27082, -27137, -29821, -27166, -27204, -27228, -27215, -27184, -27160, -27090, -27033, -26996, -26982, -26843, -26802, -26697, -26672, -26655, -26606, -26578, -26557, -26546, -26533, -26524, -26506, -26485, -26438, -26415, -26397, -26377, -26357, -26300, -26286, -26271, -26239, -23080, -26230, -26214, -26201, -26142, -26118, -26066, -26038, -25988, -25963, -25939, -25765, -25728, -25680, -25642, -25590, -25622, -25648, -25726, -25747, -25772, -25681, -25639, -25594, -25545, 25570, -25592, 25616, -25636, -25657, 25678, -25698, -25720, 25704, -25677, 25658, -25635, 25618, -25586, 25568, -25540, 25510, 25490, -25517, -25538, -25557, -25584, -25606, -25651, -25673, -25693, -25713, -25722, -25754, -25831, -25879, -25915, -25914, -25890, -25894, -25933, -25981, -26015, -26029, -26078, -26082, 26101, -26168, -26184, -26205, 15149, -26205, -26184, -26168, 15148, -26168, -26153, -26125, -26126, 26120]"
S002,,7,4,False,15,15,,7,"[10019, -15115, 25263, -25286, -25295, 25329, 25346, 25359, 25396, 25421, 25442, -25460, 25489, 25511, 25536, -25562, 25586, -25621, 25632, 25653, 25674, -25696, -25717, -25738, 25759, -25793, 25832, -25862, 25881, 25921, 25949, 26017, -26056, 26072, -26090, 26100, -26103, 26137, -26146, -26163, -26166, -26170, -26192, 26196, -26207, 26212]"
S003,,7,4,True,30,30,,7,"[10021, -25452, 25476, 25495, 25521, 25545, 25570, 25592, 25616, 25636, -25657, 25678, -25698, 25720, -25744, 25786, 25855, 25917, 25935, 25967, 26000, 26028, 26074, -26095, -26135, 26158, 26144, 26124, -26111, 26100, 26029, 26078, -26082, -26070, 26104, -26113, -26122, 26125, -26126, 26120, -26102, 26097, 26139, 26097, -26102, 26120, -26126, 26125, -26122, -26113, 26104, -26070, -26082, 26078, 26029, 26100, -26111, 26124, 26144, 26158, -26135, -26095, 26074, 26028, 26000, 25967, 25935, 25875, 25856, 25766, -25744, 25720, -25698, 25678, -25657, 25636, 25616, 25592, 25570, 25545, 25521, 25495, 25476, -25452, 10021]"
S006,,7,4,True,30,30,,7,"[15149, -26205, 26204, 26206, 26208, 26212, 26207, 26196, -26192, -26170, 26166, 26163, -26146, 26137, -26103, 26100, 26090, -26099, 26112, -26096, 26065, 26027, -26042, 26058, 26074, -26093, 26119, 26085, 26062, 26033, 26001, 26049, 26063, -26039, 26020, 25970, 25948, 25925, 25875, -25856, 25766, 25744, 25720, -25704, 25677, -25658, 25635, -25618, 25586, -25562, 25536, -25511, 25489, -25460, 25442, -25421, 25396, -25359, 25346, -25329, -25295, -25286, 25263, -15115, 10019, -15115, 25263, -25286, -25295, -25329, 25346, -25359, 25396, -25421, 25442, -25460, 25489, -25511, 25536, -25562, 25586, -25618, 25635, -25658, 25677, -25704, 25720, 25744, -25786, 25855, 25875, 25925, 25948, 25970, 26020, -26039, 26063, 26049, 26001, 26033, 26062, 26085, 26119, -26093, 26074, 26058, -26042, 26027, 26065, -26096, 26112, -26099, 26090, 26100, -26103, 26137, -26146, 26163, 26166, -26170, -26192, 26196, 26207, 26212, 26208, 26206, 26204, -26205, 15149]"
S009,,7,4,False,15,15,,7,"[26137, -26146, -26163, -26166, -26170, -26192, -26196, -26207, 26212, -26208, -26206, -26204, -26205, 15149, -26205, -26184, -26168, 15148, -26168, -26101, 26082, 26070, 26016, 25959, 25945, 25931, -25887, 25819, 25751, 25708, -25667, 25627, 25580, 25531, -25482, 25435, -25387, -25364, 25336, -25319, -25290, -25275, 25255, -25235, 25216, -25196, -25176, -25153, -25119, 25089, 25070, -25055, -25045, 25012, 24946, -24924, -24906, -24889, -24878, -24853, 24829, -24803, -24771, 24764, -24751, 24642, -24600, 24514, -24503, 24545, -24619, 24659, 24729, 24779, 24806]"
S011,,7,4,True,30,60,,7,"[10019, -15115, 25263, -25286, -25295, 25329, 25346, 25359, 25396, 25421, 25442, -25460, 25489, 25511, 25536, -25562, 25586, -25618, 25635, 25658, 25677, -25704, 25720, -25744, -25786, 25855, 25875, 25925, 25948, 25970, 26020, -26039, 26063, 26086, 26107, -26129, -26160, -26164, -26165, -26171, 26174, -26178, -26181, -26187, 26195, 26177, 26158, 26144, 26124, -26111, 26100, -26103, 26137, -26146, -26163, 26166, -26170, -26192, 26196, 26207, 26212, 26207, 26196, -26192, -26170, 26166, -26163, -26146, 26137, -26103, 26100, -26111, 26124, 26144, 26158, 26177, 26195, -26187, -26181, -26178, 26174, -26171, -26165, -26164, -26160, -26129, 26107, 26086, 26063, -26039, 26020, 25970, 25948, 25925, 25875, -25856, -25766, -25744, 25720, -25704, 25677, 25658, 25635, -25618, 25586, -25562, 25536, 25511, 25489, -25460, 25442, 25421, 25396, 25359, 25346, 25329, -25295, -25286, 25263, -15115, 10019]"
S017,,7,4,False,30,30,,7,"[26137, -26146, -26163, -26166, -26170, -26192, 26196, -26207, -26212, -26208, -26206, -26204, -26205, 15149, -26205, -26184, -26168, 15148, -26168, 26101, 26082, 26070, 26016, 25959, 25945, 25931, 25896, 25777, 25724, 25650, 25549, -25502, 25450, -25407, 25355, -25308, 25273, -25233, 25190, -25148, 25108, -25068, 25029, -24991, 24959, -24939, 24922, -24907, 24891, -24879, 24833, 24791, 24727, -24750, -24775, 15095]"
S021,,3,4,False,15,15,,7,"[15095, -24775, 24787, -24801, 24819, -24828, 24845, -24871, 24896, -24930, 24968, -24997, 25037, -25078, 25121, 25156, 25202, -25246, 25283, 25334, 25383, 25429, -25446, 25474, -25520, 25574, -25620, 25663, 25731, 25858, 25911, 25992, -26040, -26046, 26061, 26097, -26102, 26120, -26126, 26125, 26153, -26168, 15148, -26168, -26184, -26205, 15149, -26205, -26204, -26206, -26208, -26212, -26207, 26196, -26192, -26170, -26166, -26163, -26146, 26137]"
S033,,3,4,False,15,15,,7,"[25381, -25430, 25534, 25640, -25685, -25669, -25602, 25512, -25434, 25351, 25318, 25215, 25147, 25077, -25042, 24979, 24949, 24904, 24877, -24858, 24840, -24816, -24790, 24763, 24726, -24670, 24645, -24607, 24568, 24539, 24515, -24490, 24467, 24436, -24425, 24405, -24384, 15086, -24384, -24367, -24342, -24321, -24307, 24279, -24254, 24226, -24127, 24084, 24011, 24142, -24101, 24036, 23962, 23855, 23794, 23726, -23704, 23671, -23648, -23638, -23603, -23574, -23564, -23545, 23506, -23470, -23429, 15069]"
S035,,3,4,False,30,30,,7,"[21889, 21795, -21839, 21884, -21886, 21950, 22104, -22048, 21982, 21916, 21878, -21920, 21978, 22113, -22175, 22197, 22230, 22296, 22423, 22492, -22559, -22587, -22606, -22614, 22638, -22694, 22745, -22820, 22874, -22932, 22986, -23042, 23124, -23168, 23205, -23211, 23219, -23231, 23256, -23303, 23365, -23401, -23443, -23506, -23470, -23429, 15069]"
S039,,3,4,False,15,15,,7,"[25381, -25368, 25342, 25288, 25102, -25028, 24978, -24914, 24870, -24841, -24820, -24785, 24765, -24696, 24647, -24610, -24569, -24541, 24517, -24489, 24461, -24439, 24407, -24372, 24338, -24311, 24281, 24256, 24228, -24210, -24190, 15080, -24190, -24181, -24170, -24157, -24117, -24109, -24099, 24075, -24028, 24005, -23912, -23779, 23699, -23621, -23536, 23498, 23455, -23399, 23342, -23245, -23180, -23104, -23179, -23251, 23279, 23307, 23359, 23445, 23503, -23483, -23448, -23405, 23364, -23429, 15069]"
